date,value
"2022-06-13T09:27:20.000Z",0.46
"2022-06-13T09:27:40.000Z",0.41
"2022-06-13T09:28:00.000Z",0.68
"2022-06-13T09:28:20.000Z",1.13
"2022-06-13T09:28:40.000Z",0.79
"2022-06-13T09:29:00.000Z",0.51
"2022-06-13T09:29:20.000Z",5.23
"2022-06-13T09:29:40.000Z",3.3
"2022-06-13T09:30:00.000Z",4.1
"2022-06-13T09:30:20.000Z",6.31
"2022-06-13T09:30:40.000Z",4.64
"2022-06-13T09:31:00.000Z",0.85
"2022-06-13T09:31:20.000Z",0.73
"2022-06-13T09:31:40.000Z",1.6
"2022-06-13T09:32:00.000Z",1.23
"2022-06-13T09:32:20.000Z",0.56
"2022-06-13T09:32:40.000Z",0.45
"2022-06-13T09:33:00.000Z",0.53
"2022-06-13T09:33:20.000Z",0.32
"2022-06-13T09:33:40.000Z",0.39
"2022-06-13T09:34:00.000Z",0.63
"2022-06-13T09:34:20.000Z",0.58
"2022-06-13T09:34:40.000Z",0.4
"2022-06-13T09:35:00.000Z",0.85
"2022-06-13T09:35:20.000Z",1.9
"2022-06-13T09:35:40.000Z",0.88
"2022-06-13T09:36:00.000Z",0.92
"2022-06-13T09:36:20.000Z",1
"2022-06-13T09:36:40.000Z",0.89
"2022-06-13T09:37:00.000Z",1.64
"2022-06-13T09:37:20.000Z",1.23
"2022-06-13T09:37:40.000Z",0.41
"2022-06-13T09:38:00.000Z",0.49
"2022-06-13T09:38:20.000Z",0.56
"2022-06-13T09:38:40.000Z",0.57
"2022-06-13T09:39:00.000Z",1.28
"2022-06-13T09:39:20.000Z",0.88
"2022-06-13T09:39:40.000Z",0.8
"2022-06-13T09:40:00.000Z",0.78
"2022-06-13T09:40:20.000Z",0.62
"2022-06-13T09:40:40.000Z",0.51
"2022-06-13T09:41:00.000Z",0.48
"2022-06-13T09:41:20.000Z",0.74
"2022-06-13T09:41:40.000Z",1.07
"2022-06-13T09:42:00.000Z",0.83
"2022-06-13T09:42:20.000Z",0.99
"2022-06-13T09:42:40.000Z",0.67
"2022-06-13T09:43:00.000Z",0.74
"2022-06-13T09:43:20.000Z",0.38
"2022-06-13T09:43:40.000Z",0.7
"2022-06-13T09:44:00.000Z",0.62
"2022-06-13T09:44:20.000Z",0.87
"2022-06-13T09:44:40.000Z",0.92
"2022-06-13T09:45:00.000Z",1.07
"2022-06-13T09:45:20.000Z",0.7
"2022-06-13T09:45:40.000Z",0.49
"2022-06-13T09:46:00.000Z",0.4
"2022-06-13T09:46:20.000Z",0.69
"2022-06-13T09:46:40.000Z",0.68
"2022-06-13T09:47:00.000Z",0.68
"2022-06-13T09:47:20.000Z",1.49
"2022-06-13T09:47:40.000Z",0.36
"2022-06-13T09:48:00.000Z",0.58
"2022-06-13T09:48:20.000Z",0.48
"2022-06-13T09:48:40.000Z",0.39
"2022-06-13T09:49:00.000Z",0.32
"2022-06-13T09:49:20.000Z",0.44
"2022-06-13T09:49:40.000Z",0.71
"2022-06-13T09:50:00.000Z",0.37
"2022-06-13T09:50:20.000Z",1.07
"2022-06-13T09:50:40.000Z",4.21
"2022-06-13T09:51:00.000Z",4.44
"2022-06-13T09:51:20.000Z",1.16
"2022-06-13T09:51:40.000Z",0.25
"2022-06-13T09:52:00.000Z",0.49
"2022-06-13T09:52:20.000Z",0.51
"2022-06-13T09:52:40.000Z",0.52
"2022-06-13T09:53:00.000Z",0.42
"2022-06-13T09:53:20.000Z",0.4
"2022-06-13T09:53:40.000Z",1.03
"2022-06-13T09:54:00.000Z",0.37
"2022-06-13T09:54:20.000Z",0.41
