time,valueA,valueB,valueC
20,267,2653,2921
40,513,2734,3248
60,173,2688,2861
80,362,2774,3137
100,392,2553,2946
120,195,2478,2673
140,324,2651,2976
160,1323,2476,3800
180,308,2561,2870
200,294,2715,3009
220,271,2599,2871
240,385,2556,2942
260,266,2659,2926
280,251,2521,2772
300,189,2555,2744
320,268,2658,2927
340,526,2651,3178
360,1773,2818,4591
380,387,2760,3147
400,167,2656,2823
420,409,2705,3115
440,421,2931,3352
460,324,2928,3253
480,314,2571,2886
500,275,2717,2992
520,248,2504,2753
540,407,2591,2999
560,251,2614,2865
580,267,2496,2764
600,178,2491,2669
