date,value
"2022-06-13T09:41:40.000Z",1817376
"2022-06-13T09:42:00.000Z",1995764
"2022-06-13T09:42:20.000Z",2037264
"2022-06-13T09:42:40.000Z",1993896
"2022-06-13T09:43:00.000Z",1856684
"2022-06-13T09:43:20.000Z",1928892
"2022-06-13T09:43:40.000Z",1909684
"2022-06-13T09:44:00.000Z",1752476
"2022-06-13T09:44:20.000Z",1691116
"2022-06-13T09:44:40.000Z",1655688
"2022-06-13T09:45:00.000Z",1761312
"2022-06-13T09:45:20.000Z",1904592
"2022-06-13T09:45:40.000Z",1966392
"2022-06-13T09:46:00.000Z",1819672
"2022-06-13T09:46:20.000Z",1687260
"2022-06-13T09:46:40.000Z",1685144
"2022-06-13T09:47:00.000Z",1863436
"2022-06-13T09:47:20.000Z",1947304
"2022-06-13T09:47:40.000Z",1923084
"2022-06-13T09:48:00.000Z",1913812
"2022-06-13T09:48:20.000Z",1872272
"2022-06-13T09:48:40.000Z",1885840
"2022-06-13T09:49:00.000Z",1707788
"2022-06-13T09:49:20.000Z",1716288
"2022-06-13T09:49:40.000Z",1686756
"2022-06-13T09:50:00.000Z",1697284
"2022-06-13T09:50:20.000Z",1543980
"2022-06-13T09:50:40.000Z",1582296
"2022-06-13T09:51:00.000Z",1990064
"2022-06-13T09:51:20.000Z",1990320
"2022-06-13T09:51:40.000Z",2048436
"2022-06-13T09:52:00.000Z",2048520
"2022-06-13T09:52:20.000Z",2280248
"2022-06-13T09:52:40.000Z",2487140
"2022-06-13T09:53:00.000Z",2192656
"2022-06-13T09:53:20.000Z",1977444
"2022-06-13T09:53:40.000Z",1558684
"2022-06-13T09:54:00.000Z",1863940
"2022-06-13T09:54:20.000Z",2052176
"2022-06-13T09:54:40.000Z",2088288
"2022-06-13T09:55:00.000Z",2088436
"2022-06-13T09:55:20.000Z",2273688
"2022-06-13T09:55:40.000Z",2637736
"2022-06-13T09:56:00.000Z",2469736
"2022-06-13T09:56:20.000Z",2233740
"2022-06-13T09:56:40.000Z",1883212
"2022-06-13T09:57:00.000Z",1705116
"2022-06-13T09:57:20.000Z",1716240
"2022-06-13T09:57:40.000Z",1677628
"2022-06-13T09:58:00.000Z",1684340
"2022-06-13T09:58:20.000Z",1785316
"2022-06-13T09:58:40.000Z",1739856
"2022-06-13T09:59:00.000Z",1784460
"2022-06-13T09:59:20.000Z",1601556
"2022-06-13T09:59:40.000Z",1767004
"2022-06-13T10:00:00.000Z",2102668
"2022-06-13T10:00:20.000Z",2209268
"2022-06-13T10:00:40.000Z",2296040
"2022-06-13T10:01:00.000Z",2339276
"2022-06-13T10:01:20.000Z",2498956
"2022-06-13T10:01:40.000Z",2498072
"2022-06-13T10:02:00.000Z",2162240
"2022-06-13T10:02:20.000Z",2155508
"2022-06-13T10:02:40.000Z",2113020
"2022-06-13T10:03:00.000Z",2431208
"2022-06-13T10:03:20.000Z",2450716
"2022-06-13T10:03:40.000Z",2068500
"2022-06-13T10:04:00.000Z",2054400
"2022-06-13T10:04:20.000Z",2013052
"2022-06-13T10:04:40.000Z",2010324
"2022-06-13T10:05:00.000Z",2061860
"2022-06-13T10:05:20.000Z",1931084
"2022-06-13T10:05:40.000Z",1874748
"2022-06-13T10:06:00.000Z",1842996
"2022-06-13T10:06:20.000Z",2207536
"2022-06-13T10:06:40.000Z",2218960
"2022-06-13T10:07:00.000Z",2226072
"2022-06-13T10:07:20.000Z",2184304
"2022-06-13T10:07:40.000Z",2112136
"2022-06-13T10:08:00.000Z",2101852
"2022-06-13T10:08:20.000Z",2080944
"2022-06-13T10:08:40.000Z",1709568
"2022-06-13T10:09:00.000Z",1909184
"2022-06-13T10:09:20.000Z",1921464
"2022-06-13T10:09:40.000Z",2152772
"2022-06-13T10:10:00.000Z",2006076
"2022-06-13T10:10:20.000Z",2006300
"2022-06-13T10:10:40.000Z",1900248
"2022-06-13T10:11:00.000Z",2047944
"2022-06-13T10:11:20.000Z",2089488
"2022-06-13T10:11:40.000Z",1868336
"2022-06-13T10:12:00.000Z",1899904
"2022-06-13T10:12:20.000Z",2089076
"2022-06-13T10:12:40.000Z",1956252
"2022-06-13T10:13:00.000Z",1778116
"2022-06-13T10:13:20.000Z",1830456
"2022-06-13T10:13:40.000Z",1869940
"2022-06-13T10:14:00.000Z",1870656
"2022-06-13T10:14:20.000Z",1879608
"2022-06-13T10:14:40.000Z",1920812
"2022-06-13T10:15:00.000Z",2002812
"2022-06-13T10:15:20.000Z",2054908
"2022-06-13T10:15:40.000Z",2160336
"2022-06-13T10:16:00.000Z",2133056
"2022-06-13T10:16:20.000Z",2122888
"2022-06-13T10:16:40.000Z",2031892
"2022-06-13T10:17:00.000Z",1885456
"2022-06-13T10:17:20.000Z",1885660
"2022-06-13T10:17:40.000Z",1742268
"2022-06-13T10:18:00.000Z",1855900
"2022-06-13T10:18:20.000Z",1850616
"2022-06-13T10:18:40.000Z",1949856
"2022-06-13T10:19:00.000Z",1936472
"2022-06-13T10:19:20.000Z",1992892
"2022-06-13T10:19:40.000Z",2269496
"2022-06-13T10:20:00.000Z",2269348
"2022-06-13T10:20:20.000Z",2254856
"2022-06-13T10:20:40.000Z",2049844
"2022-06-13T10:21:00.000Z",1826072
"2022-06-13T10:21:20.000Z",1808256
"2022-06-13T10:21:40.000Z",1756828
"2022-06-13T10:22:00.000Z",1740780
"2022-06-13T10:22:20.000Z",1707840
"2022-06-13T10:22:40.000Z",1716788
"2022-06-13T10:23:00.000Z",2237508
"2022-06-13T10:23:20.000Z",2227744
"2022-06-13T10:23:40.000Z",2257796
"2022-06-13T10:24:00.000Z",1684528
"2022-06-13T10:24:20.000Z",1685396
"2022-06-13T10:24:40.000Z",1615952
"2022-06-13T10:25:00.000Z",1682280
"2022-06-13T10:25:20.000Z",1685328
"2022-06-13T10:25:40.000Z",1673664
"2022-06-13T10:26:00.000Z",1783132
"2022-06-13T10:26:20.000Z",1783396
"2022-06-13T10:26:40.000Z",1764196
"2022-06-13T10:27:00.000Z",1834896
"2022-06-13T10:27:20.000Z",1834564
"2022-06-13T10:27:40.000Z",1858996
"2022-06-13T10:28:00.000Z",1857516
"2022-06-13T10:28:20.000Z",1888460
"2022-06-13T10:28:40.000Z",1801184
"2022-06-13T10:29:00.000Z",1780324
"2022-06-13T10:29:20.000Z",1780604
"2022-06-13T10:29:40.000Z",1712764
"2022-06-13T10:30:00.000Z",1723764
"2022-06-13T10:30:20.000Z",1773956
"2022-06-13T10:30:40.000Z",1925832
"2022-06-13T10:31:00.000Z",2001356
"2022-06-13T10:31:20.000Z",2148444
"2022-06-13T10:31:40.000Z",2076008
"2022-06-13T10:32:00.000Z",2020504
"2022-06-13T10:32:20.000Z",2041292
"2022-06-13T10:32:40.000Z",1721064
"2022-06-13T10:33:00.000Z",1652620
"2022-06-13T10:33:20.000Z",1642980
"2022-06-13T10:33:40.000Z",1670648
"2022-06-13T10:34:00.000Z",1703428
"2022-06-13T10:34:20.000Z",1686104
"2022-06-13T10:34:40.000Z",1980600
"2022-06-13T10:35:00.000Z",2099292
"2022-06-13T10:35:20.000Z",2111096
"2022-06-13T10:35:40.000Z",1836964
"2022-06-13T10:36:00.000Z",1899884
"2022-06-13T10:36:20.000Z",1912928
"2022-06-13T10:36:40.000Z",1892868
"2022-06-13T10:37:00.000Z",1916536
"2022-06-13T10:37:20.000Z",2082704
"2022-06-13T10:37:40.000Z",1939224
"2022-06-13T10:38:00.000Z",1910316
"2022-06-13T10:38:20.000Z",1743596
"2022-06-13T10:38:40.000Z",1815644
"2022-06-13T10:39:00.000Z",1801504
"2022-06-13T10:39:20.000Z",1835776
"2022-06-13T10:39:40.000Z",1893648
"2022-06-13T10:40:00.000Z",1927660
"2022-06-13T10:40:20.000Z",2254448
"2022-06-13T10:40:40.000Z",2036540
"2022-06-13T10:41:00.000Z",2058204
"2022-06-13T10:41:20.000Z",2081772
